"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5438","should display main heading and subheading","chromium","Fri Oct 10 15:50:57 EEST 2025","passed","Fri Oct 10 15:51:02 EEST 2025","Anonymous Landing Page Tests","E2E\Anonymous\Landing.spec.ts","",""
"","6214","should display ""Need a nudge?"" hint section","chromium","Fri Oct 10 15:50:57 EEST 2025","passed","Fri Oct 10 15:51:03 EEST 2025","Anonymous Landing Page Tests","E2E\Anonymous\Landing.spec.ts","",""
"","5603","should display all header elements correctly","chromium","Fri Oct 10 15:50:57 EEST 2025","passed","Fri Oct 10 15:51:02 EEST 2025","Anonymous Landing Page Tests","E2E\Anonymous\Landing.spec.ts","",""
"","3698","should display registration dialog when Register for free button is clicked","chromium","Fri Oct 10 15:51:07 EEST 2025","passed","Fri Oct 10 15:51:11 EEST 2025","Anonymous Landing Page Tests","E2E\Anonymous\Landing.spec.ts","",""
"","7346","should play video in ""What is Ideoz project?"" section","chromium","Fri Oct 10 15:51:11 EEST 2025","passed","Fri Oct 10 15:51:19 EEST 2025","Anonymous Landing Page Tests","E2E\Anonymous\Landing.spec.ts","",""
"","8028","should redirect to Ideoz project section when ""What is Ideoz project?"" button is clicked","chromium","Fri Oct 10 15:51:11 EEST 2025","passed","Fri Oct 10 15:51:19 EEST 2025","Anonymous Landing Page Tests","E2E\Anonymous\Landing.spec.ts","",""
"","11492","should share video in ""What is Ideoz project?"" section","chromium","Fri Oct 10 15:51:11 EEST 2025","failed","Fri Oct 10 15:51:23 EEST 2025","Anonymous Landing Page Tests","E2E\Anonymous\Landing.spec.ts","",""
"","7788","should make prompt example clickable and navigate to conversation","chromium","Fri Oct 10 15:51:03 EEST 2025","passed","Fri Oct 10 15:51:10 EEST 2025","Anonymous Landing Page Tests","E2E\Anonymous\Landing.spec.ts","",""
"","7582","should return to landing page without creating an account","chromium","Fri Oct 10 15:51:03 EEST 2025","failed","Fri Oct 10 15:51:11 EEST 2025","Anonymous Landing Page Tests","E2E\Anonymous\Landing.spec.ts","",""
"","4192","should display login dialog when Login button is clicked","chromium","Fri Oct 10 15:51:07 EEST 2025","passed","Fri Oct 10 15:51:11 EEST 2025","Anonymous Landing Page Tests","E2E\Anonymous\Landing.spec.ts","",""
"","5791","should open registration dialog when ""Create Free Account"" button is clicked in ""What is Ideoz project?"" section","chromium","Fri Oct 10 15:51:13 EEST 2025","passed","Fri Oct 10 15:51:19 EEST 2025","Anonymous Landing Page Tests","E2E\Anonymous\Landing.spec.ts","",""
"","4537","should have send button disabled when input field is empty","chromium","Fri Oct 10 15:51:03 EEST 2025","passed","Fri Oct 10 15:51:07 EEST 2025","Anonymous Landing Page Tests","E2E\Anonymous\Landing.spec.ts","",""
"","4320","should enable send button after typing text in input field","chromium","Fri Oct 10 15:51:03 EEST 2025","passed","Fri Oct 10 15:51:07 EEST 2025","Anonymous Landing Page Tests","E2E\Anonymous\Landing.spec.ts","",""
"","5557","should display user challenge input area elements","chromium","Fri Oct 10 15:50:57 EEST 2025","passed","Fri Oct 10 15:51:02 EEST 2025","Anonymous Landing Page Tests","E2E\Anonymous\Landing.spec.ts","",""
